                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "x86_64-macos-24.10.1"                                 "CRMATH"                               "20250626"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4               log_total_angular_momentum                              num_retries                                num_iters                    total_torque_envelope 
                                     283                                      902                  9.7743325609734119E+005                  3.2953178034295347E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.2068161520391931E+000                  2.4066490061763640E-001                  7.8179345830431402E-008                  9.9999999987532828E-001                  9.9999999962051167E-001                  1.0000000000000000E+000                  7.8179345830431402E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6862051025550286E+000                 -3.4494054701519772E+001                 -3.3076136142384600E+000                  3.6862051466070227E+000                  8.8151655908278859E-001                  3.6855236487039362E+000                 -3.4494054701519772E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6630716643551862E+033                  2.9380111565846014E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2169018802337188E+000                  2.6786613047865679E+000                  4.2818005279034155E-001                  4.2806775260584686E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6819971582168318E+001                  1.2588923793745999E+000                  7.4202383034150117E+000                  6.1215548027461808E-001                  8.5493278023702990E-001                  1.2842919855331094E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0991173208594005E-001                  2.7000359529315543E-001                  2.7538961020579043E-003                  9.6446776837701195E-003                  3.4309646673614425E-003                  9.6450934782526393E-003                  3.5498758827162131E+000                  1.3500051734966250E+000                 -9.8999999999999986E+001                                        4                                       10                  0.0000000000000000E+000 
                                     284                                      924                  9.7980189604497270E+005                  3.3744990494771594E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  2.0750505360680096E+000                  4.1231841373809391E-001                  7.8179344942252982E-008                  9.9999999318587507E-001                  9.9999979205773326E-001                  1.0000000000000000E+000                  7.8179344942252982E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3721950126132643E+000                 -3.5334072022358136E+001                 -3.7156390489926041E+000                  3.3721950480905374E+000                  7.5579224531589551E-001                  3.3711432752404633E+000                 -3.5334072022358136E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3110105062646193E+033                  2.7328803051026874E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1479980503916591E+000                  2.5028738325272202E+000                  4.7809397634478812E-001                  4.1808496789495750E+000                  0.0000000000000000E+000                  1.5091967608572555E-004                  6.2574367336242864E-001                  3.3453223099339948E+002                  1.6755136995404854E+001                  1.2115617750767909E+000                  7.4028504957811645E+000                  6.1215491697704227E-001                  8.5493333999357723E-001                  1.2842904294250337E+000                  1.7222542265912889E-004                  5.7710801702403842E-002                  7.0991267978946715E-001                  2.7000348237486066E-001                  2.7605743369743391E-003                  9.6447007664340334E-003                  3.4309646673614425E-003                  9.6450934782526393E-003                  3.5498034843234141E+000                  1.3500078703931313E+000                  5.1599794031908317E+001                                        4                                        5                  5.3152790322840780E-066 
                                     285                                      911                  9.8169680800307810E+005                  3.2775890364691032E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  2.2280500791232378E+000                  4.4466075587981641E-001                  7.8179344942252982E-008                  9.9999999961556241E-001                  9.9999999906957571E-001                  1.0000000000000000E+000                  7.8179344942252982E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3246015237562747E+000                 -3.5503395030926086E+001                 -3.7979090039604566E+000                  3.3246015565109857E+000                  7.4434542539351434E-001                  3.3234583831342563E+000                 -3.5503395030926086E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2625446572150227E+033                  2.6986466112427584E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1647511520415996E+000                  2.5482841959417275E+000                  4.6729295475216043E-001                  4.2024517221348310E+000                  0.0000000000000000E+000                  1.5127782492844460E-004                  6.0271168751295934E-001                  3.2571134857501283E+002                  1.6734455885688565E+001                  1.1939966755684417E+000                  7.3996061321175706E+000                  6.1216430961705881E-001                  8.5492381179273325E-001                  1.2843160441320509E+000                  1.4108558867271563E-004                  4.8226443477455465E-002                  7.0989702660979526E-001                  2.7000387944983711E-001                  2.6479985943487837E-003                  9.6446404293767957E-003                  3.4309646673614425E-003                  9.6450934782526393E-003                  3.5497530225070468E+000                  1.3500093355957987E+000                  5.1520556534420166E+001                                        4                                        4                  5.0495920367592337E-066 
                                     286                                      914                  9.8321273756956228E+005                  3.1806790234610465E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  2.2947045270879380E+000                  4.5615061926567868E-001                  7.8179345108786436E-008                  9.9999999972493736E-001                  9.9999999910774962E-001                  1.0000000000000000E+000                  7.8179345108786436E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2459066833856154E+000                 -3.5733271333899978E+001                 -3.9117972847555578E+000                  3.2459067135907187E+000                  7.1719198810175344E-001                  3.2446192844181114E+000                 -3.5733271333899978E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1748783299124933E+033                  2.6088117740448818E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1571419148125797E+000                  2.5241534698123886E+000                  4.7044606614553058E-001                  4.1961454993480904E+000                  0.0000000000000000E+000                  1.4858699091756928E-004                  5.9665962737174782E-001                  3.2186958227795628E+002                  1.6714360300894292E+001                  1.1786264691848332E+000                  7.3948754810571096E+000                  6.1217615072185039E-001                  8.5491728130269262E-001                  1.2843341774469805E+000                  1.4716116489975681E-004                  5.1209922791986884E-002                  7.0988594633300084E-001                  2.7000415232331748E-001                  2.5708935309488030E-003                  9.6445988554738314E-003                  3.4309646673614425E-003                  9.6450934782526393E-003                  3.5497198957223004E+000                  1.3500102277575241E+000                  5.1545018362960228E+001                                        4                                        4                  4.9316887157944976E-066 
                                     287                                      912                  9.8442548122274969E+005                  3.0837690104529902E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  2.2991567891663318E+000                  4.5900448061304838E-001                  7.8179344942252982E-008                  9.9999999970149989E-001                  9.9999999906087467E-001                  1.0000000000000000E+000                  7.8179344942252982E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1965262027418402E+000                 -3.5877895969757638E+001                 -3.9836817921078049E+000                  3.1965262314216525E+000                  7.0121873450642935E-001                  3.1951356998095859E+000                 -3.5877895969757638E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1202547306138742E+033                  2.5506796667131077E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1537398106983821E+000                  2.5135314392075756E+000                  4.7193925907152007E-001                  4.1931591134961117E+000                  0.0000000000000000E+000                  1.4848626941322150E-004                  5.9956512065044698E-001                  3.2296407856180980E+002                  1.6701406788583871E+001                  1.1686370672331869E+000                  7.3919101713892621E+000                  6.1219589347314518E-001                  8.5491215373016660E-001                  1.2843486385465541E+000                  1.4719371502328299E-004                  5.1816492333357479E-002                  7.0987710969286455E-001                  2.7000437070245920E-001                  2.5103826256222205E-003                  9.6445658277853254E-003                  3.4309646673614425E-003                  9.6450934782526393E-003                  3.5496965252401069E+000                  1.3500108239052788E+000                  5.1550153379650560E+001                                        4                                        4                  4.8851036093374505E-066 
                                     288                                      903                  9.8588077360657463E+005                  3.1629502565006149E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  2.2799748358192016E+000                  4.5329675791830865E-001                  7.8179344942252982E-008                  9.9999999969368736E-001                  9.9999999908155457E-001                  1.0000000000000000E+000                  7.8179344942252982E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1444868130986534E+000                 -3.6027109549782679E+001                 -4.0580912073381619E+000                  3.1444868403386015E+000                  6.8522227416986214E-001                  3.1429757761927681E+000                 -3.6027109549782679E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0623503866188865E+033                  2.4923386706799984E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1502944201584038E+000                  2.5021247854592303E+000                  4.7312671327730443E-001                  4.1907842050845430E+000                  0.0000000000000000E+000                  1.4784793362540298E-004                  5.9911306231218875E-001                  3.2245308400026022E+002                  1.6688214143758074E+001                  1.1585229390913701E+000                  7.3888447981046745E+000                  6.1223137214174339E-001                  8.5490647046765833E-001                  1.2843649977135856E+000                  1.4634110809124231E-004                  5.2121548751391904E-002                  7.0986711278769976E-001                  2.7000461698327555E-001                  2.4433597257380825E-003                  9.6445289345200441E-003                  3.4309646673614425E-003                  9.6450934782526393E-003                  3.5496719469368858E+000                  1.3500114311650129E+000                  5.1553233647913963E+001                                        4                                        3                  4.9853759853347368E-066 
                                     289                                      895                  9.8762712446716439E+005                  3.2421315025482400E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  2.2414238046140400E+000                  4.4755174470812847E-001                  7.8179344942252982E-008                  9.9999999968587483E-001                  9.9999999901399972E-001                  1.0000000000000000E+000                  7.8179344942252982E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0883400269953438E+000                 -3.6182527350392029E+001                 -4.1358684593674715E+000                  3.0883400529118115E+000                  6.6861549004512233E-001                  3.0866846871026894E+000                 -3.6182527350392029E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0013739975241612E+033                  2.4275503206456667E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1463135232974642E+000                  2.4889953409225734E+000                  4.7452378473085538E-001                  4.1879900621774411E+000                  0.0000000000000000E+000                  1.4719215054932979E-004                  5.9903146085574643E-001                  3.2207872749571544E+002                  1.6674832290272796E+001                  1.1483811192973443E+000                  7.3856401800030413E+000                  6.1228813349756783E-001                  8.5490057765732386E-001                  1.2843823888706556E+000                  1.4580003601456890E-004                  5.2540468023397104E-002                  7.0985648416005676E-001                  2.7000487796098477E-001                  2.3739336357441699E-003                  9.6444904997761861E-003                  3.4309646673614425E-003                  9.6450934782526393E-003                  3.5496463165892100E+000                  1.3500120605808199E+000                  5.1557430179439940E+001                                        4                                        4                  5.0495920367592337E-066 
                                     290                                      888                  9.8972274549987225E+005                  3.3213127485958647E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  2.1785467936783296E+000                  4.3302375339144911E-001                  7.8179345164297587E-008                  9.9999999967024988E-001                  9.9999999902616032E-001                  1.0000000000000000E+000                  7.8179345164297587E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0292760139974502E+000                 -3.6340717228385493E+001                 -4.2153107406577126E+000                  3.0292760387259374E+000                  6.5213209758985513E-001                  3.0274497936171931E+000                 -3.6340717228385493E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.3720058503752324E+032                  2.3670417777040737E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1420878900071711E+000                  2.4751340581154304E+000                  4.7604440990787028E-001                  4.1849488118234115E+000                  0.0000000000000000E+000                  1.4648021720499606E-004                  5.9895782755297766E-001                  3.2166821611545743E+002                  1.6661622844298979E+001                  1.1385070531407948E+000                  7.3823665796021336E+000                  6.1236988302032247E-001                  8.5489445129377650E-001                  1.2844009166569517E+000                  1.4520655498984110E-004                  5.2926027740390111E-002                  7.0984515896882783E-001                  2.7000515723439916E-001                  2.3018411504845183E-003                  9.6444503132247939E-003                  3.4309646673614425E-003                  9.6450934782526393E-003                  3.5496197439098034E+000                  1.3500127157632085E+000                  5.1561592385179161E+001                                        4                                        4                  5.1195317085001509E-066 
                                     291                                      883                  9.9223749073912168E+005                  3.4004939946434893E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  2.0914871974906117E+000                  4.1529896792482451E-001                  7.8179345164297587E-008                  9.9999999965462494E-001                  9.9999999899325775E-001                  1.0000000000000000E+000                  7.8179345164297587E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9679087758673557E+000                 -3.6499850720985627E+001                 -4.2955260593450149E+000                  2.9679087995455982E+000                  6.3627008944135777E-001                  2.9658803485822522E+000                 -3.6499850720985627E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6732105633485685E+032                  2.2943671360212145E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1376621150619117E+000                  2.4609722094636703E+000                  4.7781503547250753E-001                  4.1814075606941365E+000                  0.0000000000000000E+000                  1.4563294422292042E-004                  5.9881657018986023E-001                  3.2113226283544105E+002                  1.6648882882478652E+001                  1.1291681969908272E+000                  7.3790581272861058E+000                  6.1247876950918345E-001                  8.5488804976547517E-001                  1.2844207356739916E+000                  1.4461476073200706E-004                  5.3280557663926136E-002                  7.0983304174991169E-001                  2.7000545937416842E-001                  2.2266142585782474E-003                  9.6444080020642760E-003                  3.4309646673614425E-003                  9.6450934782526393E-003                  3.5495923176694304E+000                  1.3500133994846026E+000                  5.1565778397282052E+001                                        4                                        4                  5.3013274150947320E-066 
